뉴스 제목	댓글 내용	타입
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	북한하고 통일되면 뭐할껀데? 오히려 국가적으로 적자본다. 어느정도 동등해야 통일되도 발전이 있지 한쪽은 완전 못살고 한쪽은 잘살고 융합이 된다고 생각하는가? 그냥 농경지 땅떵이만 넓어지는거야~ 통일되서 그 땅 개발시킬려면 돈이 얼마나 투자되는데 생각이 없는거지... 통일 된다고 좋아지는거 하나없다 그냥 민주당이 통일 목적으로 돈 빼돌릴려는 꼼수지~ 국민들이 통일이라는 달콤한 말에 속지 않았으면 한다	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	일본과 등지고 미국과 등지고 북에는 돈퍼다줘야하고 문재인이 대통령되고나서 한게 뭐있나	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	쥐어 터져도 난 너의 친구야 때리지 말아줘 이소리네	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	저들을 자극할필요는 없지만 감싸고 편들고 하는짓좀 그만했으면 합니다. 제발 종교같은 외교좀 그만하시고 합리적인 외교를 하세요. 북한은 중국을 믿지 남한은 그저 이용대상일뿐입니다. 이게 올림픽때도 우리선수들자리 빼앗하가면 북한기살려주는 그런 보여주기식 쇼도 그만좀 하시고요. 우리국민들을 먼저 챙기세요. 과거에 연연하실거면 6.25포함해 북한의 과거테러에도 연연해주시고 북한의 과거테러를 용서하실거면 반일프레임도 적당히 쓰시고요. 나에게 유리한 과거만 과거고, 내편아니면 친일파고 빨갱이고. 이런 수준떨어지는 사상 좀 버리자고요.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	면 뽑는 남의 나라 아재가 일국의 대통령을 깠는데, 대통령이란 양반은 또 뜬구름 잡고 허무맹랑한 소리나 짖껄이고 있으니 그를 추종하는 세력과 그의 뇌 손상이 의심되는 바	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	아니 모지리야? 지혼자 그리말한다고 북한이 들어먹어? 정말 써주는데로만 읽을래? 당신이 대한민국 대통려이 이라면 자존심좀 지켜라	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	소와돼지가 한약속도  약속이냐?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	윗동네는 벌써 유턴하고 갔는데 혼자 약속지키겠다네 ㅋㅋㅋㅋㅋㅋ 진짜 뇌에 문제있는 거 아닌지 의료진은 긴급히 점검바람	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	지금도 생각난다 김정은 만나 걸으며 또 앉아서 입찢어지게 희희낙나커리면서 당장 내일 통일될것처럼 온국민들을 사기극으로 현혹하던 모습이..그뒤 도대체 남북관계 진전된게있으면 어디 말좀해봐라 무슨 철도를놓니 뭘하니 하면서 정작 북한은 가만있는데 우리만 들떠서 하는 짓거리라니..	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	현실인식이 안되는거야?? 현실부정인거야??	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	지켜진것도 없는데 김정은을 저리 믿고 싶을까요?자식도 저따위로 나오면 인연을 끓을 판에 그 믿음은대단합니다. 국민과의 약속은 안중에도 없나요? 대선 공약.국민과의 약속이나 임기내  지키세요.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	옥류관 주방장 파워가 대단하네여 ㄷㄷ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	응 #이제 본색을 들어내나???전라도 국민들은 제발 정신차리세요????	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	대한민국의 5천만 국민 전부가 문제인이하고  김정은이하고 이야기한 것을 동의 했다고 생각하냐? 아마 50%이상의 대한민국 국민은 동의하지 않았을것이다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	진정한 평화는  개인의 자유가 보장되는  것 아닌가     법치가  제대로 작동되면  자유 민주주의가  가장좋은 시스템  아닌가   거짓과  조작과 위선과  강도짓으로 운영되는  공산주의길을  5000만을  끌고가야하나?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	박그네는 문재앙에 비하면 세종대왕임..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	"지금의 남북관계를 멈춰서는 안된다"고 문대통은 지금까지의 상황을 평화시대로 보는 것같은데, 수없이 많은 핵미사일 발사실험이 평화인가? 함박도를 내주고 함박도에 대포기지를 건설하는 것이 평화란 말인가? 무슨 꿍꿍이가 있는지 대북정책을 국민들에게 설명설득하지는 않고, 젊은 애들에게 욕설을 얻어먹는지, 금강산관광,남북경협,철도건설이 북쪽이 희망하는 것인지 의문스럽고 또한 UN대북재제안의 걸림돌이 있어서 역풍이 더 무서운데, 이해할 수 없는 말장난이나 계속하며 욕이나 먹을 것인지, 기가막힌다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	그냥 통일을 포기해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 누가 통일이 하고싶대? 그 희생은 누가 감내할껀데? 지금 2030세대들이 피똥싸면서 통일하고싶을꺼같아? 난 싫은데? 북한이 좋으면 느그들이 북한으로 꺼져 좀	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	야이 독세캬 북괴가 남한국민들에게 미사일 쏜다는데 니놈 주둥이에서 그런말이 나오냐?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	나짝만 봐도 밥맛떨어지네 똥고집만 살아서는 아둔하게	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	매일 돈 가져가  망해먹으면서  사업할때 돈 안보태주면 집에 불지르겠다는  패륜아랑 비슷 .   매번  돈 주며 달래는것도 한계가  있지  .  같이  망하자는거냐	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	싸움은 한쪽에서 시비를 걸어도 시작될 수 있지만 평화는 한쪽에서 평화를 외친다고 되는게 아니지 않나. 되돌릴 수 없긴...북한이 저리 나오는데 이미 되돌려진거 아닌가. 고집 피운다고 되는 일이 아니지 않나. 시비거는 상대에서 "우리 안싸우기로 했잖아요~"해봤자... 되겠냐는 말이다. 반성없는 화해란건 의미없고 언제든 되돌려질 수 있다. 북한이 어린 아이인가.. 언제까지 사탕 물려주고 우쭈쭈하며 호갱노릇할껀가. 남북관계도 이쯤 되면 어느 쪽으로든 성장이 되어야 하는거 아닌가. 계속 반목만 될 뿐...과거와 변한게 무엇인가.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	진짜 궁금해서 그러는데요.이번 정권 부동산.경제.외교.안보..도대체 뭘 잘해서 지지율이 70퍼센트라는거죠?  기가 찹니다.사회주의 사상이 얼마나 무서운지 이번 정권때 간접체험하고 있는듯 하네요.	
