뉴스 제목	댓글 내용	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	멍충이...말미잘 해삼...모지리...ㅉㅉㅉ 한나라의 수장이 저게 뭐하는짓인지...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	문재앙 주제 모르고 김정은한테 직접 말거네. 문재앙 클라쓰는 옥류관 주방장 급인데, 어디 중간단계 싹 건너뛰고 백두혈통 최고존엄한테 주뎅이 터는거임? 재앙이 진짜 정신 나감?	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	정말 저 대가리속에 뭐가들었는지 궁금하다. 외계에서온 정체불명의 뇌를 가진 생명체가 아니라면 틀림없이 간첩이나 3대 세습을 독재정권 유지를 위해 목슴바치기로 맹세한 똘마니로 밖에 볼 수 없다.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	아...진짜 얘는 말귀를 못 알아듣는갑네..사오정이야ㅡㅡ	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	북한이 좋으면 북한 가서 살아 이새끼야 왜  남한에서 발광이야	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	제일 기품없는 대통령 그래서 대통령같지도않음 역대대통령보면 제일 안어울리더라	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	그러니까 김돼지가 한반도 평화를위해 무얼노력했고 무얼 결단했는지 나열해봐	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	사이코패스같은 공감능력x도없는 ㅃㄱㅇ	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	아무리봐도 정신나간사람같다.제정신이 아니다.민주주의의 반하는 행동만 쳐 하고있다.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	간첩문재앙 헛소리좀 그만하고 북으로 좀 가라	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	나라가 망해 가는데도  오직  정신병자를 결사 옹위하려는 대깨문들의 무식한 작태를 규탄한다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	옥류관 주방장한테 국수 한그릇 쳐먹고 요사 떤다고 한소리나 듣고, 그 국수 한그릇 먹고 탱크 저지물 없애고, GP빼고하더니 전쟁 위협은 콱 올려버린 문재앙, 남북관계 잘하고 있다고 거짓말까지 해대는 무능한인간 당장 기본도 없는 무능한 역대 최악의 5년제 선출 공무원	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	지나가던 개가 웃겠네 아주 포장질은 잘해?	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	니놈얘긴 김정은이가 그렇게 노력했는데도 불구하고 대북전단땜에 일이다틀어진거라는얘기지.... 진짜 강이지새끼보다 못한놈 넌똥오줌도못가리는놈!!!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	노벨평화상이 목표입니까? 변호사출신들은 정치안했음 좋겠다..입으로 먹고사는 직업이라서  젤 싫어함.!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	문재인의 사상이 궁금하다  이나라걱정이나해라	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	노력같은 소리하고있네요	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	어이 문씨 입 닥치고 가서 일이나해	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	비핵화라는데  퍼준다라는건 핵더만들라는거네 문재인 북한인민들  우리나라국민들도 좀생각해라	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	냉면이 아깝다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	욕은 욕대로 먹고, 굴욕은 굴욕대로 당하고도 아무렇지 않은 척 이해해 줄테니 대화하자고 빌고 , 퍼줄테니 경협하지고 조르나? 또 미국에게 등 돌리려는 지나친 결심을 보여주면서까지 김정은에게 그렇게 깊고 애달픈 애정을 표시해야 하나? 왜 우리가 대화를 구걸하는 저자세를 취해야 하나? 냉면수모까지 당하는 대통령 쳐다보는 국민들의 상한 마음은 알기는 하나? 그리고 오만하게 야당이나 다른 국민의견은 코빼기도 보지않고 무시하는게 협치부탁이냐? 대통령다운 입장 이 아닌 그저  치적쌓기에 집착한 내용,  김정은을  잘 안다고 자랑하는 것일 뿐!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이상주의 대통령. 추구했던 이상이 꺽이니 얼마나 힘들겠어.. 현실주의 대통령이 되세요	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	혼자 또 소설쓰고 있네.. 이래서 글쟁이들이 문통을 지지하고 좋아하나 보네..	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	북한 사정은 그리 잘 알면서 정작 남한사정은 눈만 꿈벅꿈벅 왜그리 모르냐?	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	더이상의 기대는 하지말자. 북한은 스스로 와해되는 방법뿐이다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	한반도 정세 전환하려고 했던 김정은의 결단·노력이 도대체 뭔데?? 문재인 눈에만 보임?? 툭하면 미사일 발사 시험에, 입에담지도 못할 막말하는게 결단. 노력임??	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	젊은 애송이한테 아부도 정도 껏 해라! - 모자란 멍청이 같단다!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	홀로 빛나지 못하는 달이라는 말이 뭔지 이제야 와 닫는다. 그래 태양궁의 명령은 절대적이겠지.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이 빨갱이는 아직도 정신 못차렸네	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	노력한게 없는데 알긴 뭘알아 치매걸린 노인도 아니고	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	김정은 감싸고 빠는거 도저히 못봐주겠네	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	멍충아 이제 김여정이를 핥아 주라고......! 빨리 달려가서 냉면 한그릇 쳐먹고 싹싹 빌고 오라고~ 간 김에 주방장한테 인사도 좀 하고....	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	과연 북한이 평화를 원할까요?? 사상에 젖어있고 국민을 탄압하고, 자유롭지 못하게 하는 북한정권이 민주주의 평화를 정말 원할까요?? 굶줄이고, 인권이 유린당하는 북한주민들과는 반대로 일부극소수 지배층은 온갖 자본주의를 누리는 걸 포기할까요?? 100~200년뒤 통일을 바라는건가요?? 현실은 환상, 그리고 이념과는 너무 동떨어져 있습니다.	
